Date,Country,Holiday,,,,
"2013, 1, 1",Denmark, Nyt†rsdag,,,,
"2013, 1, 1",Belgium, Nieuwjaarsdag,,,,
"2013, 1, 1",Argentina," ""A¤o Nuevo [New Years Day]""",,,,
"2013, 1, 1",Columbia," ""A¤o Nuevo [New Years Day]""",,,,
"2013, 1, 1",England," ""New Years Day ",,,,
"2013, 1, 1",Finland, Uudenvuodenp„iv„,,,,
"2013, 1, 6",Finland, Loppiainen,,,,
"2013, 1, 7",Columbia, D¡a de los Reyes Magos [Epiphany],,,,
"2013, 10, 12",Argentina, D¡a del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],,,,
"2013, 10, 14",Columbia, Descubrimiento de Am‚rica [Discovery of America],,,,
"2013, 11, 1",Belgium, Allerheiligen,,,,
"2013, 11, 11",Belgium, Wapenstilstand,,,,
"2013, 11, 11",Columbia, Independencia de Cartagena [Independence of Cartagena],,,,
"2013, 11, 2",Finland, Pyh„inp„iv„,,,,
"2013, 11, 20",Argentina, D¡a Nacional de la Soberan¡a [National Sovereignty Day],,,,
"2013, 11, 4",Columbia," ""Dia de Todos los Santos [All Saints Day]",,,,
"2013, 12, 24",Finland, Jouluaatto,,,,
"2013, 12, 25",Denmark, Juledag,,,,
"2013, 12, 25",Belgium, Kerstmis,,,,
"2013, 12, 25",Argentina, Navidad [Christmas],,,,
"2013, 12, 25",Columbia, Navidad [Christmas],,,,
"2013, 12, 25",England,Christmas,,,,
"2013, 12, 25",Finland, Joulup„iv„,,,,
"2013, 12, 26",Denmark, Anden juledag,,,,
"2013, 12, 26",England, Boxing Day,,,,
"2013, 12, 26",Finland, Tapaninp„iv„,,,,
"2013, 12, 6",Finland, Itsen„isyysp„iv„,,,,
"2013, 12, 8",Argentina, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2013, 2, 11",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2013, 2, 12",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2013, 3, 24",Argentina," ""D¡a Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]""",,,,
"2013, 3, 25",Columbia," ""D¡a de San Jos‚ [Saint Josephs Day]",,,,
"2013, 3, 28",Denmark, Sk‘rtorsdag,,,,
"2013, 3, 28",Argentina, Semana Santa ,,,,
"2013, 3, 28",Columbia, Jueves Santo [Maundy Thursday],,,,
"2013, 3, 29",Denmark, Langfredag,,,,
"2013, 3, 29",Argentina, Semana Santa ,,,,
"2013, 3, 29",Columbia, Viernes Santo [Good Friday],,,,
"2013, 3, 29",England, Good Friday,,,,
"2013, 3, 29",Finland, Pitk„perjantai,,,,
"2013, 3, 31",Denmark, P†skedag,,,,
"2013, 3, 31",Belgium, Pasen,,,,
"2013, 3, 31",Argentina, D¡a de Pascuas [Easter Day],,,,
"2013, 3, 31",Finland, P„„si„isp„iv„,,,,
"2013, 4, 1",Denmark, Anden p†skedag,,,,
"2013, 4, 1",Belgium, Paasmaandag,,,,
"2013, 4, 1",England, Easter Monday,,,,
"2013, 4, 1",Finland, 2. p„„si„isp„iv„,,,,
"2013, 4, 2",Argentina, D¡a del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War],,,,
"2013, 4, 26",Denmark, Store bededag,,,,
"2013, 5, 1",Belgium, Dag van de Arbeid,,,,
"2013, 5, 1",Argentina, D¡a del Trabajo [Labour Day],,,,
"2013, 5, 1",Columbia, D¡a del Trabajo [Labour Day],,,,
"2013, 5, 1",Finland, Vappu,,,,
"2013, 5, 13",Columbia, Ascensi¢n del se¤or [Ascension of Jesus],,,,
"2013, 5, 19",Denmark, Pinsedag,,,,
"2013, 5, 19",Belgium, Pinksteren,,,,
"2013, 5, 19",Finland, Helluntaip„iv„,,,,
"2013, 5, 20",Denmark, Anden pinsedag,,,,
"2013, 5, 20",Belgium, Pinkstermaandag,,,,
"2013, 5, 25",Argentina, D¡a de la Revolucion de Mayo [May Revolution Day],,,,
"2013, 5, 27",England, Spring Bank Holiday,,,,
"2013, 5, 6",England, May Day,,,,
"2013, 5, 9",Denmark, Kristi himmelfartsdag,,,,
"2013, 5, 9",Belgium, O.L.H. Hemelvaart,,,,
"2013, 5, 9",Finland, Helatorstai,,,,
"2013, 6, 10",Columbia, Sagrado Coraz¢n [Sacred Heart],,,,
"2013, 6, 17",Argentina, D¡a Pase a la Inmortalidad del General Mart¡n Miguel de Gemes [Day Pass to the Immortality of General Mart¡n Miguel de Gemes],,,,
"2013, 6, 20",Argentina, D¡a Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],,,,
"2013, 6, 21",Finland, Juhannusaatto,,,,
"2013, 6, 22",Finland, Juhannusp„iv„,,,,
"2013, 6, 3",Columbia, Corpus Christi [Corpus Christi],,,,
"2013, 7, 1",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul],,,,
"2013, 7, 21",Belgium, Nationale feestdag,,,,
"2013, 7, 9",Argentina, D¡a de la Independencia [Independence Day],,,,
"2013, 8, 15",Belgium, O.L.V. Hemelvaart,,,,
"2013, 8, 17",Argentina, D¡a Pase a la Inmortalidad del General D. Jos‚ de San Martin [Day Pass to the Immortality of General D. Jos‚ de San Martin],,,,
"2013, 8, 19",Columbia, La Asunci¢n [Assumption of Mary],,,,
"2013, 8, 26",England, Late Summer Bank Holiday,,,,
"2013, 8, 7",Columbia, Batalla de Boyac  [Battle of Boyac ],,,,
"2014, 1, 1",Denmark, Nyt†rsdag,,,,
"2014, 1, 1",Belgium, Nieuwjaarsdag,,,,
"2014, 1, 1",Argentina," ""A¤o Nuevo [New Years Day]""",,,,
"2014, 1, 1",Columbia," ""A¤o Nuevo [New Years Day]""",,,,
"2014, 1, 1",England," ""New Years Day ",,,,
"2014, 1, 1",Finland, Uudenvuodenp„iv„,,,,
"2014, 1, 6",Columbia, D¡a de los Reyes Magos [Epiphany],,,,
"2014, 1, 6",Finland, Loppiainen,,,,
"2014, 10, 12",Argentina, D¡a del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],,,,
"2014, 10, 13",Columbia, Descubrimiento de Am‚rica [Discovery of America],,,,
"2014, 11, 1",Belgium, Allerheiligen,,,,
"2014, 11, 1",Finland, Pyh„inp„iv„,,,,
"2014, 11, 11",Belgium, Wapenstilstand,,,,
"2014, 11, 17",Columbia, Independencia de Cartagena [Independence of Cartagena],,,,
"2014, 11, 20",Argentina, D¡a Nacional de la Soberan¡a [National Sovereignty Day],,,,
"2014, 11, 3",Columbia," ""Dia de Todos los Santos [All Saints Day]",,,,
"2014, 12, 24",Finland, Jouluaatto,,,,
"2014, 12, 25",Denmark, Juledag,,,,
"2014, 12, 25",Belgium, Kerstmis,,,,
"2014, 12, 25",Argentina, Navidad [Christmas],,,,
"2014, 12, 25",Columbia, Navidad [Christmas],,,,
"2014, 12, 25",England,Christmas,,,,
"2014, 12, 25",Finland, Joulup„iv„,,,,
"2014, 12, 26",Denmark, Anden juledag,,,,
"2014, 12, 26",England, Boxing Day,,,,
"2014, 12, 26",Finland, Tapaninp„iv„,,,,
"2014, 12, 6",Finland, Itsen„isyysp„iv„,,,,
"2014, 12, 8",Argentina, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2014, 12, 8",Columbia, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2014, 3, 24",Argentina," ""D¡a Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]""",,,,
"2014, 3, 24",Columbia," ""D¡a de San Jos‚ [Saint Josephs Day]",,,,
"2014, 3, 3",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2014, 3, 4",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2014, 4, 17",Denmark, Sk‘rtorsdag,,,,
"2014, 4, 17",Argentina, Semana Santa ,,,,
"2014, 4, 17",Columbia, Jueves Santo [Maundy Thursday],,,,
"2014, 4, 18",Denmark, Langfredag,,,,
"2014, 4, 18",Argentina, Semana Santa ,,,,
"2014, 4, 18",Columbia, Viernes Santo [Good Friday],,,,
"2014, 4, 18",England, Good Friday,,,,
"2014, 4, 18",Finland, Pitk„perjantai,,,,
"2014, 4, 2",Argentina, D¡a del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War],,,,
"2014, 4, 20",Denmark, P†skedag,,,,
"2014, 4, 20",Belgium, Pasen,,,,
"2014, 4, 20",Argentina, D¡a de Pascuas [Easter Day],,,,
"2014, 4, 20",Finland, P„„si„isp„iv„,,,,
"2014, 4, 21",Denmark, Anden p†skedag,,,,
"2014, 4, 21",Belgium, Paasmaandag,,,,
"2014, 4, 21",England, Easter Monday,,,,
"2014, 4, 21",Finland, 2. p„„si„isp„iv„,,,,
"2014, 5, 1",Belgium, Dag van de Arbeid,,,,
"2014, 5, 1",Argentina, D¡a del Trabajo [Labour Day],,,,
"2014, 5, 1",Columbia, D¡a del Trabajo [Labour Day],,,,
"2014, 5, 1",Finland, Vappu,,,,
"2014, 5, 16",Denmark, Store bededag,,,,
"2014, 5, 25",Argentina, D¡a de la Revolucion de Mayo [May Revolution Day],,,,
"2014, 5, 26",England, Spring Bank Holiday,,,,
"2014, 5, 29",Denmark, Kristi himmelfartsdag,,,,
"2014, 5, 29",Belgium, O.L.H. Hemelvaart,,,,
"2014, 5, 29",Finland, Helatorstai,,,,
"2014, 5, 5",England, May Day,,,,
"2014, 6, 17",Argentina, D¡a Pase a la Inmortalidad del General Mart¡n Miguel de Gemes [Day Pass to the Immortality of General Mart¡n Miguel de Gemes],,,,
"2014, 6, 2",Columbia, Ascensi¢n del se¤or [Ascension of Jesus],,,,
"2014, 6, 20",Argentina, D¡a Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],,,,
"2014, 6, 20",Finland, Juhannusaatto,,,,
"2014, 6, 21",Finland, Juhannusp„iv„,,,,
"2014, 6, 23",Columbia, Corpus Christi [Corpus Christi],,,,
"2014, 6, 30",Columbia, Sagrado Coraz¢n [Sacred Heart],,,,
"2014, 6, 8",Denmark, Pinsedag,,,,
"2014, 6, 8",Belgium, Pinksteren,,,,
"2014, 6, 8",Finland, Helluntaip„iv„,,,,
"2014, 6, 9",Denmark, Anden pinsedag,,,,
"2014, 6, 9",Belgium, Pinkstermaandag,,,,
"2014, 7, 21",Belgium, Nationale feestdag,,,,
"2014, 7, 9",Argentina, D¡a de la Independencia [Independence Day],,,,
"2014, 8, 15",Belgium, O.L.V. Hemelvaart,,,,
"2014, 8, 17",Argentina, D¡a Pase a la Inmortalidad del General D. Jos‚ de San Martin [Day Pass to the Immortality of General D. Jos‚ de San Martin],,,,
"2014, 8, 18",Columbia, La Asunci¢n [Assumption of Mary],,,,
"2014, 8, 25",England, Late Summer Bank Holiday,,,,
"2014, 8, 7",Columbia, Batalla de Boyac  [Battle of Boyac ],,,,
"2015, 1, 1",Denmark, Nyt†rsdag,,,,
"2015, 1, 1",Belgium, Nieuwjaarsdag,,,,
"2015, 1, 1",Argentina," ""A¤o Nuevo [New Years Day]""",,,,
"2015, 1, 1",Columbia," ""A¤o Nuevo [New Years Day]""",,,,
"2015, 1, 1",England," ""New Years Day ",,,,
"2015, 1, 1",Finland, Uudenvuodenp„iv„,,,,
"2015, 1, 12",Columbia, D¡a de los Reyes Magos [Epiphany],,,,
"2015, 1, 6",Finland, Loppiainen,,,,
"2015, 10, 12",Argentina, D¡a del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],,,,
"2015, 10, 12",Columbia, Descubrimiento de Am‚rica [Discovery of America],,,,
"2015, 10, 31",Finland, Pyh„inp„iv„,,,,
"2015, 11, 1",Belgium, Allerheiligen,,,,
"2015, 11, 11",Belgium, Wapenstilstand,,,,
"2015, 11, 16",Columbia, Independencia de Cartagena [Independence of Cartagena],,,,
"2015, 11, 2",Columbia," ""Dia de Todos los Santos [All Saints Day]",,,,
"2015, 11, 20",Argentina, D¡a Nacional de la Soberan¡a [National Sovereignty Day],,,,
"2015, 12, 24",Finland, Jouluaatto,,,,
"2015, 12, 25",Denmark, Juledag,,,,
"2015, 12, 25",Belgium, Kerstmis,,,,
"2015, 12, 25",Argentina, Navidad [Christmas],,,,
"2015, 12, 25",Columbia, Navidad [Christmas],,,,
"2015, 12, 25",England,Christmas,,,,
"2015, 12, 25",Finland, Joulup„iv„,,,,
"2015, 12, 26",Denmark, Anden juledag,,,,
"2015, 12, 26",England, Boxing Day,,,,
"2015, 12, 26",Finland, Tapaninp„iv„,,,,
"2015, 12, 28",England, Boxing Day,,,,
"2015, 12, 6",Finland, Itsen„isyysp„iv„,,,,
"2015, 12, 8",Argentina, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2015, 12, 8",Columbia, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2015, 2, 16",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2015, 2, 17",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2015, 3, 23",Columbia," ""D¡a de San Jos‚ [Saint Josephs Day]",,,,
"2015, 3, 24",Argentina," ""D¡a Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]""",,,,
"2015, 4, 2",Denmark, Sk‘rtorsdag,,,,
"2015, 4, 2",Argentina, D¡a del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War] Semana Santa ,,,,
"2015, 4, 2",Columbia, Jueves Santo [Maundy Thursday],,,,
"2015, 4, 3",Denmark, Langfredag,,,,
"2015, 4, 3",Argentina, Semana Santa ,,,,
"2015, 4, 3",Columbia, Viernes Santo [Good Friday],,,,
"2015, 4, 3",England, Good Friday,,,,
"2015, 4, 3",Finland, Pitk„perjantai,,,,
"2015, 4, 5",Denmark, P†skedag,,,,
"2015, 4, 5",Belgium, Pasen,,,,
"2015, 4, 5",Argentina, D¡a de Pascuas [Easter Day],,,,
"2015, 4, 5",Finland, P„„si„isp„iv„,,,,
"2015, 4, 6",Denmark, Anden p†skedag,,,,
"2015, 4, 6",Belgium, Paasmaandag,,,,
"2015, 4, 6",England, Easter Monday,,,,
