Date,Country,Holiday,,,,
"2015, 4, 6",Finland, 2. p„„si„isp„iv„,,,,
"2015, 5, 1",Denmark, Store bededag,,,,
"2015, 5, 1",Belgium, Dag van de Arbeid,,,,
"2015, 5, 1",Argentina, D¡a del Trabajo [Labour Day],,,,
"2015, 5, 1",Columbia, D¡a del Trabajo [Labour Day],,,,
"2015, 5, 1",Finland, Vappu,,,,
"2015, 5, 14",Denmark, Kristi himmelfartsdag,,,,
"2015, 5, 14",Belgium, O.L.H. Hemelvaart,,,,
"2015, 5, 14",Finland, Helatorstai,,,,
"2015, 5, 18",Columbia, Ascensi¢n del se¤or [Ascension of Jesus],,,,
"2015, 5, 24",Denmark, Pinsedag,,,,
"2015, 5, 24",Belgium, Pinksteren,,,,
"2015, 5, 24",Finland, Helluntaip„iv„,,,,
"2015, 5, 25",Denmark, Anden pinsedag,,,,
"2015, 5, 25",Belgium, Pinkstermaandag,,,,
"2015, 5, 25",Argentina, D¡a de la Revolucion de Mayo [May Revolution Day],,,,
"2015, 5, 25",England, Spring Bank Holiday,,,,
"2015, 5, 4",England, May Day,,,,
"2015, 6, 15",Columbia, Sagrado Coraz¢n [Sacred Heart],,,,
"2015, 6, 17",Argentina, D¡a Pase a la Inmortalidad del General Mart¡n Miguel de Gemes [Day Pass to the Immortality of General Mart¡n Miguel de Gemes],,,,
"2015, 6, 19",Finland, Juhannusaatto,,,,
"2015, 6, 20",Argentina, D¡a Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],,,,
"2015, 6, 20",Finland, Juhannusp„iv„,,,,
"2015, 6, 29",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul],,,,
"2015, 6, 8",Columbia, Corpus Christi [Corpus Christi],,,,
"2015, 7, 20",Columbia, D¡a de la Independencia [Independence Day],,,,
"2015, 7, 21",Belgium, Nationale feestdag,,,,
"2015, 7, 9",Argentina, D¡a de la Independencia [Independence Day],,,,
"2015, 8, 15",Belgium, O.L.V. Hemelvaart,,,,
"2015, 8, 17",Argentina, D¡a Pase a la Inmortalidad del General D. Jos‚ de San Martin [Day Pass to the Immortality of General D. Jos‚ de San Martin],,,,
"2015, 8, 17",Columbia, La Asunci¢n [Assumption of Mary],,,,
"2015, 8, 31",England, Late Summer Bank Holiday,,,,
"2015, 8, 7",Columbia, Batalla de Boyac  [Battle of Boyac ],,,,
"2016, 1, 1",Denmark, Nyt†rsdag,,,,
"2016, 1, 1",Belgium, Nieuwjaarsdag,,,,
"2016, 1, 1",Argentina," ""A¤o Nuevo [New Years Day]""",,,,
"2016, 1, 1",Columbia," ""A¤o Nuevo [New Years Day]""",,,,
"2016, 1, 1",England," ""New Years Day ",,,,
"2016, 1, 1",Finland, Uudenvuodenp„iv„,,,,
"2016, 1, 11",Columbia, D¡a de los Reyes Magos [Epiphany],,,,
"2016, 1, 6",Finland, Loppiainen,,,,
"2016, 10, 12",Argentina, D¡a del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],,,,
"2016, 10, 17",Columbia, Descubrimiento de Am‚rica [Discovery of America],,,,
"2016, 11, 1",Belgium, Allerheiligen,,,,
"2016, 11, 11",Belgium, Wapenstilstand,,,,
"2016, 11, 14",Columbia, Independencia de Cartagena [Independence of Cartagena],,,,
"2016, 11, 20",Argentina, D¡a Nacional de la Soberan¡a [National Sovereignty Day],,,,
"2016, 11, 5",Finland, Pyh„inp„iv„,,,,
"2016, 11, 7",Columbia," ""Dia de Todos los Santos [All Saints Day]",,,,
"2016, 12, 24",Finland, Jouluaatto,,,,
"2016, 12, 25",Denmark, Juledag,,,,
"2016, 12, 25",Belgium, Kerstmis,,,,
"2016, 12, 25",Argentina, Navidad [Christmas],,,,
"2016, 12, 25",Columbia, Navidad [Christmas],,,,
"2016, 12, 25",England,Christmas,,,,
"2016, 12, 25",Finland, Joulup„iv„,,,,
"2016, 12, 26",Denmark, Anden juledag,,,,
"2016, 12, 26",England, Boxing Day,,,,
"2016, 12, 26",Finland, Tapaninp„iv„,,,,
"2016, 12, 27",England,Christmas ,,,,
"2016, 12, 6",Finland, Itsen„isyysp„iv„,,,,
"2016, 12, 8",Argentina, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2016, 12, 8",Columbia, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2016, 2, 8",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2016, 2, 9",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2016, 3, 21",Columbia," ""D¡a de San Jos‚ [Saint Josephs Day]",,,,
"2016, 3, 24",Denmark, Sk‘rtorsdag,,,,
"2016, 3, 24",Argentina," ""Semana Santa ",,,,
"2016, 3, 24",Columbia, Jueves Santo [Maundy Thursday],,,,
"2016, 3, 25",Denmark, Langfredag,,,,
"2016, 3, 25",Argentina, Semana Santa ,,,,
"2016, 3, 25",Columbia, Viernes Santo [Good Friday],,,,
"2016, 3, 25",England, Good Friday,,,,
"2016, 3, 25",Finland, Pitk„perjantai,,,,
"2016, 3, 27",Denmark, P†skedag,,,,
"2016, 3, 27",Belgium, Pasen,,,,
"2016, 3, 27",Argentina, D¡a de Pascuas [Easter Day],,,,
"2016, 3, 27",Finland, P„„si„isp„iv„,,,,
"2016, 3, 28",Denmark, Anden p†skedag,,,,
"2016, 3, 28",Belgium, Paasmaandag,,,,
"2016, 3, 28",England, Easter Monday,,,,
"2016, 3, 28",Finland, 2. p„„si„isp„iv„,,,,
"2016, 4, 2",Argentina, D¡a del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War],,,,
"2016, 4, 22",Denmark, Store bededag,,,,
"2016, 5, 1",Belgium, Dag van de Arbeid,,,,
"2016, 5, 1",Argentina, D¡a del Trabajo [Labour Day],,,,
"2016, 5, 1",Columbia, D¡a del Trabajo [Labour Day],,,,
"2016, 5, 1",Finland, Vappu,,,,
"2016, 5, 15",Denmark, Pinsedag,,,,
"2016, 5, 15",Belgium, Pinksteren,,,,
"2016, 5, 15",Finland, Helluntaip„iv„,,,,
"2016, 5, 16",Denmark, Anden pinsedag,,,,
"2016, 5, 16",Belgium, Pinkstermaandag,,,,
"2016, 5, 2",England, May Day,,,,
"2016, 5, 25",Argentina, D¡a de la Revolucion de Mayo [May Revolution Day],,,,
"2016, 5, 30",Columbia, Corpus Christi [Corpus Christi],,,,
"2016, 5, 30",England, Spring Bank Holiday,,,,
"2016, 5, 5",Denmark, Kristi himmelfartsdag,,,,
"2016, 5, 5",Belgium, O.L.H. Hemelvaart,,,,
"2016, 5, 5",Finland, Helatorstai,,,,
"2016, 5, 9",Columbia, Ascensi¢n del se¤or [Ascension of Jesus],,,,
"2016, 6, 17",Argentina, D¡a Pase a la Inmortalidad del General Mart¡n Miguel de Gemes [Day Pass to the Immortality of General Mart¡n Miguel de Gemes],,,,
"2016, 6, 20",Argentina, D¡a Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],,,,
"2016, 6, 24",Finland, Juhannusaatto,,,,
"2016, 6, 25",Finland, Juhannusp„iv„,,,,
"2016, 6, 6",Columbia, Sagrado Coraz¢n [Sacred Heart],,,,
"2016, 7, 20",Columbia, D¡a de la Independencia [Independence Day],,,,
"2016, 7, 21",Belgium, Nationale feestdag,,,,
"2016, 7, 4",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul],,,,
"2016, 7, 9",Argentina, D¡a de la Independencia [Independence Day],,,,
"2016, 8, 15",Belgium, O.L.V. Hemelvaart,,,,
"2016, 8, 15",Columbia, La Asunci¢n [Assumption of Mary],,,,
"2016, 8, 17",Argentina, D¡a Pase a la Inmortalidad del General D. Jos‚ de San Martin [Day Pass to the Immortality of General D. Jos‚ de San Martin],,,,
"2016, 8, 29",England, Late Summer Bank Holiday,,,,
"2016, 8, 7",Columbia, Batalla de Boyac  [Battle of Boyac ],,,,
"2017, 1, 1",Denmark, Nyt†rsdag,,,,
"2017, 1, 1",Belgium, Nieuwjaarsdag,,,,
"2017, 1, 1",Argentina," ""A¤o Nuevo [New Years Day]""",,,,
"2017, 1, 1",England," ""New Years Day ",,,,
"2017, 1, 1",Finland, Uudenvuodenp„iv„,,,,
"2017, 1, 2",England," ""New Years Day ",,,,
"2017, 1, 6",Finland, Loppiainen,,,,
"2017, 1, 9",Columbia, D¡a de los Reyes Magos [Epiphany],,,,
"2017, 10, 12",Argentina, D¡a del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],,,,
"2017, 10, 16",Columbia, Descubrimiento de Am‚rica [Discovery of America],,,,
"2017, 11, 1",Belgium, Allerheiligen,,,,
"2017, 11, 11",Belgium, Wapenstilstand,,,,
"2017, 11, 13",Columbia, Independencia de Cartagena [Independence of Cartagena],,,,
"2017, 11, 20",Argentina, D¡a Nacional de la Soberan¡a [National Sovereignty Day],,,,
"2017, 11, 4",Finland, Pyh„inp„iv„,,,,
"2017, 11, 6",Columbia," ""Dia de Todos los Santos [All Saints Day]",,,,
"2017, 12, 24",Finland, Jouluaatto,,,,
"2017, 12, 25",Denmark, Juledag,,,,
"2017, 12, 25",Belgium, Kerstmis,,,,
"2017, 12, 25",Argentina, Navidad [Christmas],,,,
"2017, 12, 25",Columbia, Navidad [Christmas],,,,
"2017, 12, 25",England,Christmas,,,,
"2017, 12, 25",Finland, Joulup„iv„,,,,
"2017, 12, 26",Denmark, Anden juledag,,,,
"2017, 12, 26",England, Boxing Day,,,,
"2017, 12, 26",Finland, Tapaninp„iv„,,,,
"2017, 12, 6",Finland, Itsen„isyysp„iv„,,,,
"2017, 12, 8",Argentina, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2017, 12, 8",Columbia, La Inmaculada Concepci¢n [Immaculate Conception],,,,
"2017, 2, 27",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2017, 2, 28",Argentina," ""D¡a de Carnaval [Carnivals Day]""",,,,
"2017, 3, 20",Columbia," ""D¡a de San Jos‚ [Saint Josephs Day]",,,,
"2017, 3, 24",Argentina," ""D¡a Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]""",,,,
"2017, 4, 13",Denmark, Sk‘rtorsdag,,,,
"2017, 4, 13",Argentina, Semana Santa ,,,,
"2017, 4, 13",Columbia, Jueves Santo [Maundy Thursday],,,,
"2017, 4, 14",Denmark, Langfredag,,,,
"2017, 4, 14",Argentina, Semana Santa ,,,,
"2017, 4, 14",Columbia, Viernes Santo [Good Friday],,,,
"2017, 4, 14",England, Good Friday,,,,
"2017, 4, 14",Finland, Pitk„perjantai,,,,
"2017, 4, 16",Denmark, P†skedag,,,,
"2017, 4, 16",Belgium, Pasen,,,,
"2017, 4, 16",Argentina, D¡a de Pascuas [Easter Day],,,,
"2017, 4, 16",Finland, P„„si„isp„iv„,,,,
"2017, 4, 17",Denmark, Anden p†skedag,,,,
"2017, 4, 17",Belgium, Paasmaandag,,,,
"2017, 4, 17",England, Easter Monday,,,,
"2017, 4, 17",Finland, 2. p„„si„isp„iv„,,,,
"2017, 4, 2",Argentina, D¡a del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War],,,,
"2017, 5, 1",Belgium, Dag van de Arbeid,,,,
"2017, 5, 1",Argentina, D¡a del Trabajo [Labour Day],,,,
"2017, 5, 1",Columbia, D¡a del Trabajo [Labour Day],,,,
"2017, 5, 1",England, May Day,,,,
"2017, 5, 1",Finland, Vappu,,,,
"2017, 5, 12",Denmark, Store bededag,,,,
"2017, 5, 25",Denmark, Kristi himmelfartsdag,,,,
"2017, 5, 25",Belgium, O.L.H. Hemelvaart,,,,
"2017, 5, 25",Argentina, D¡a de la Revolucion de Mayo [May Revolution Day],,,,
"2017, 5, 25",Finland, Helatorstai,,,,
"2017, 5, 29",Columbia, Ascensi¢n del se¤or [Ascension of Jesus],,,,
"2017, 5, 29",England, Spring Bank Holiday,,,,
"2017, 6, 17",Argentina, D¡a Pase a la Inmortalidad del General Mart¡n Miguel de Gemes [Day Pass to the Immortality of General Mart¡n Miguel de Gemes],,,,
"2017, 6, 19",Columbia, Corpus Christi [Corpus Christi],,,,
"2017, 6, 20",Argentina, D¡a Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],,,,
"2017, 6, 23",Finland, Juhannusaatto,,,,
"2017, 6, 24",Finland, Juhannusp„iv„,,,,
"2017, 6, 26",Columbia, Sagrado Coraz¢n [Sacred Heart],,,,
"2017, 6, 4",Denmark, Pinsedag,,,,
"2017, 6, 4",Belgium, Pinksteren,,,,
"2017, 6, 4",Finland, Helluntaip„iv„,,,,
"2017, 6, 5",Denmark, Anden pinsedag,,,,
"2017, 6, 5",Belgium, Pinkstermaandag,,,,
"2017, 7, 20",Columbia, D¡a de la Independencia [Independence Day],,,,
"2017, 7, 21",Belgium, Nationale feestdag,,,,
"2017, 7, 3",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul],,,,
"2017, 7, 9",Argentina, D¡a de la Independencia [Independence Day],,,,
"2017, 8, 15",Belgium, O.L.V. Hemelvaart,,,,
"2017, 8, 17",Argentina, D¡a Pase a la Inmortalidad del General D. Jos‚ de San Martin [Day Pass to the Immortality of General D. Jos‚ de San Martin],,,,
"2017, 8, 21",Columbia, La Asunci¢n [Assumption of Mary],,,,
"2017, 8, 28",England, Late Summer Bank Holiday,,,,
"2017, 8, 7",Columbia, Batalla de Boyac  [Battle of Boyac ],,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
